CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
5395,1550,676,3516,11686,327,799,493
5400,328,641,4742,11886,233,928,109
5924,2260,1089,2447,11899,690,231,1503
7064,2856,0,1657,11911,690,278,1362
5079,3095,922,1808,12301,384,335,1662
4280,3217,651,2390,13758,351,519,660
3725,3059,1190,2114,13643,277,554,635
3771,3781,1100,2195,12820,263,710,621
4439,3501,436,1899,12820,191,805,1162
4974,2988,486,1402,12820,179,1197,375
5052,2608,453,1370,12965,170,1353,343
4278,2472,1043,1446,12863,148,1650,433
4133,2598,946,1367,13275,134,1572,256
4307,2587,596,1123,13265,138,1695,603
4415,2124,545,1194,13656,301,1566,509
4406,1203,410,2093,13913,300,1594,688
4479,408,374,3424,13500,189,1920,267
20149,2439,4385,8686,72994,1117,1279,9306
23616,4303,0,6776,74926,1117,1876,7049
17678,4627,2519,9967,78114,937,1858,2861
14566,4297,2208,13939,76855,889,2904,2264
11845,3593,3442,12564,78992,737,3179,2850
11539,5634,3251,10498,77061,1074,3323,5043
13349,5753,1606,11341,76256,523,4042,3496
14438,5274,1438,9285,75078,556,5852,3583
14643,4325,1370,10387,73356,481,6815,4236
10359,4069,3862,10044,73500,453,8373,4798
10424,4208,3421,9780,73434,362,8042,4823
11624,4468,1889,9117,71938,404,9136,6220
9840,3641,1343,8282,73661,615,8707,8748
9370,2052,1061,10288,75150,693,8887,6815
9693,605,1632,10648,76004,483,11167,3478
4173,238,776,629,10459,165,192,2332
4892,495,0,489,11903,165,235,638
3730,688,473,781,11894,132,254,548
2965,641,935,941,11706,122,362,715
2353,592,761,1202,11566,132,380,1357
2326,694,643,979,12403,152,406,769
2610,704,251,667,12402,102,516,1111
2748,625,231,550,12167,103,700,1188
2713,484,201,443,12084,90,822,1419
1942,464,786,422,12179,84,1005,1408
1903,513,643,477,12179,61,982,1515
1660,538,335,465,12418,64,1102,1722
1585,420,321,448,12301,99,1201,1920
1536,264,201,795,12646,113,1230,1517
1540,55,308,976,13025,81,1591,745
7915,784,1944,1611,21028,292,362,2016
9214,1273,0,1185,21205,292,440,2281
6700,1407,902,1851,23667,212,495,503
5451,1304,703,2498,24057,205,765,505
4113,1017,1251,1802,26052,220,831,151
4057,1838,1208,1275,25157,206,822,1026
4764,1828,556,1731,24869,135,928,653
5114,1551,496,1317,24840,139,1347,634
5372,1290,462,1850,23768,117,1571,974
3747,1145,1539,1895,23402,103,1891,1912
3918,1187,1423,1689,23631,92,1923,1423
5200,1395,733,1336,23004,92,2132,1413
3807,933,305,1227,23802,195,2407,2584
3665,590,364,1292,24267,246,2465,2344
3799,129,457,1680,24352,125,3207,1238
1840,563,474,4006,22759,230,513,3008
2387,937,0,3395,23001,230,773,2158
2140,878,425,4881,21787,299,634,1383
2044,939,61,7425,20321,282,1003,121
2260,741,581,6731,19625,151,1155,800
2267,1002,504,5834,17753,479,1442,2609
2732,1086,380,6026,17652,136,1891,1095
2807,1300,390,5469,16738,134,2397,1361
2752,1077,345,6229,16325,113,2867,1042
2300,1004,560,5792,16260,112,3643,594
2451,973,503,5697,15683,104,3358,954
2465,896,288,5455,14605,105,3902,2270
2351,1107,258,4701,14636,121,3960,2992
2098,571,90,5558,15649,109,4052,1486
2122,260,452,5100,15827,141,4901,520
6221,854,1191,2440,18748,430,212,1950
7123,1598,0,1707,18817,430,428,1972
5108,1654,719,2454,20766,294,475,427
4106,1413,509,3075,20771,280,774,923
3119,1243,849,2829,21749,234,813,542
2889,2100,896,2410,21748,237,653,639
3243,2135,419,2917,21333,150,707,637
3769,1798,321,1949,21333,180,1408,400
3806,1474,362,1865,21179,161,1555,801
2370,1456,977,1935,21659,154,1834,884
2152,1535,852,1917,21941,105,1779,931
2298,1639,533,1860,21911,143,2000,815
2097,1181,459,1905,22922,200,1139,1252
2070,627,406,2642,22587,226,1140,1468
2231,161,415,2892,22800,137,1467,975
16300,3532,2360,7215,51404,898,649,8461
18403,5880,0,6017,52715,898,841,5492
14850,5891,1421,8501,51641,718,815,6180
13070,5932,1806,9358,53245,787,1118,4389
13491,4873,1874,9433,54624,808,1194,3237
15933,6684,1941,8433,50471,711,1200,4445
16800,6374,1880,7449,50470,595,1407,4718
19238,5583,1129,5777,49453,626,1849,5882
19233,4412,1333,7390,47827,571,2122,6266
15573,4011,4304,7307,47443,494,2416,7433
16478,4270,2991,6357,48269,382,2717,6442
16290,4087,1653,5533,50672,401,3065,6241
15703,3568,1776,6246,50667,587,2251,6595
15160,2140,930,7209,52317,598,2284,6683
15335,566,2092,9116,52684,428,2756,3865
6586,849,850,3384,15640,378,158,1826
7368,1604,0,2280,16509,378,210,1129
5855,1513,437,3482,16440,314,212,1200
4858,1630,695,3135,17225,322,301,1221
4517,1294,844,3717,17976,311,316,553
5048,2423,923,2864,16892,298,354,914
5467,2478,764,2620,16892,223,450,767
6144,1960,438,1856,16696,218,545,1801
6143,1441,437,2369,16505,200,619,1865
4941,1244,1607,2287,16674,182,749,1847
4794,1327,1298,2206,16991,139,748,1791
4602,1184,677,1946,18589,122,852,1327
4358,936,769,2223,18572,192,599,1607
4411,769,376,2055,19579,189,607,1265
4372,163,638,2715,19495,128,730,884
6130,1651,991,2328,19928,305,152,1530
7182,2472,0,1585,20020,305,192,1143
5868,2419,576,2298,19295,213,213,1831
5627,2270,673,3463,19891,262,282,36
6248,1840,483,2373,20630,277,303,29
7120,2613,469,2895,18237,223,333,478
7296,2469,521,2559,18236,202,420,598
8027,2448,336,2055,18230,218,567,333
7975,2055,476,2948,17324,195,638,616
6698,1938,1552,2950,16896,183,784,1144
7566,2067,793,2532,17423,137,860,669
7635,2034,413,2006,18392,178,931,467
7570,1727,349,2312,18373,221,582,876
7409,736,94,3293,18596,209,589,1039
7466,184,585,4127,18544,175,727,157
3584,1032,519,1503,15836,215,339,5105
3853,1804,0,2152,16186,215,439,3220
3127,1959,408,2721,15906,191,390,3149
2585,2032,438,2760,16129,203,535,3132
2726,1739,547,3343,16018,220,575,2655
3765,1648,549,2674,15342,190,513,3053
4037,1427,595,2270,15342,170,537,3353
5067,1175,355,1866,14527,190,737,3748
5115,916,420,2073,13998,176,865,3785
3934,829,1145,2070,13873,129,883,4442
4118,876,900,1619,13855,107,1109,3982
4053,869,563,1582,13691,101,1282,4447
3775,905,658,1711,13722,174,1070,4112
3340,635,460,1860,14142,200,1088,4380
3497,218,869,2275,14645,125,1299,2825
42617,6378,2828,105086,46318,1335,923,3922
43661,8960,1365,94062,47184,1335,1269,10528
41303,9723,1094,104353,43099,1083,1771,5725
37643,10786,5479,109239,37901,1087,3006,2146
34126,8937,6383,118378,33071,890,3267,1549
33907,16833,5303,111349,32990,1051,3003,2521
35114,15931,2724,112038,33339,731,3144,3768
35801,16327,3714,111477,31674,1072,4801,2066
36898,13889,3779,122286,20890,1062,5672,2133
29113,14614,8610,122410,20506,921,6632,3734
31570,15515,7988,118665,21670,797,6403,3343
32406,17695,6276,115373,18000,964,7170,7819
30744,18498,6429,115750,18007,1144,5321,9638
30684,10718,5553,120442,24779,1191,5382,5989
30753,3855,5896,124359,22013,1286,6661,9383
14354,1759,850,14347,10581,541,190,767
13209,2318,489,13744,10639,541,230,1690
12253,2325,196,16203,10289,394,237,870
11080,2586,1422,15022,10051,335,505,1593
9872,1951,1717,18449,9179,337,535,141
9920,4904,1212,16599,8926,359,506,368
10731,4651,449,16235,9296,263,535,629
10152,4200,726,17549,8471,279,1060,467
10935,3860,650,18396,6810,263,1250,628
9565,4433,1876,17754,6970,250,1471,540
9996,4462,1556,17364,7122,232,1293,765
9793,5360,1184,17314,6233,263,1473,1120
9060,5209,961,17488,6234,318,736,2625
9169,2781,890,18707,7620,334,736,2312
9155,1011,1123,19756,7656,319,856,2593
28263,4619,1978,90739,35737,794,733,3155
30452,6642,876,80318,36545,794,1039,8838
29050,7398,898,88150,32810,689,1534,4855
26563,8200,4057,94217,27850,752,2501,553
24254,6986,4666,99929,23892,553,2732,1408
23987,11929,4091,94750,24064,692,2497,2153
24383,11280,2275,95803,24043,468,2609,3139
25649,12127,2988,93928,23203,793,3741,1599
25963,10029,3129,103890,14080,799,4422,1505
19548,10181,6734,104656,13536,671,5161,3194
21574,11053,6432,101301,14548,565,5110,2578
22613,12335,5092,98059,11767,701,5697,6699
21684,13289,5468,98263,11774,826,4585,7013
21515,7938,4663,101735,17159,858,4646,3676
21598,2844,4773,104603,14357,967,5805,6790
24234,1878,6244,339243,121489,1467,634,27849
26875,4212,8588,347861,117615,1467,867,19152
36230,3929,1059,330892,130155,893,786,20266
34404,4838,3710,312832,131501,827,1254,31262
33886,4574,4707,314399,127591,729,1414,21927
34850,5726,2783,313478,119852,743,1548,28924
35889,5121,1791,307445,119852,586,1957,33992
36591,4814,2184,306508,119027,615,2620,30359
37399,4586,1864,304523,119631,641,3138,27881
35391,5262,6376,302263,117425,566,3723,27909
33016,5730,7913,303515,112662,502,4509,26636
33749,5562,6115,302658,112575,575,5435,30877
31355,7211,7699,302823,116799,996,3713,23153
30724,5088,7432,303397,121478,982,3779,13454
30507,2329,7359,326867,98845,631,4803,13561
7757,400,3162,53386,23536,192,49,2595
8432,1272,4224,53296,21289,192,59,1556
14135,738,132,54742,19803,165,58,502
14052,945,246,50641,20872,164,74,3416
13797,1031,833,50558,19235,167,77,2877
14473,1441,579,49873,19899,168,75,2524
14504,1145,372,49465,19899,134,90,3158
14560,1189,578,48869,19003,147,111,2894
15247,1123,469,48395,18936,133,127,2785
15321,1292,1651,47139,18709,126,142,2649
13941,1551,3028,47364,18592,113,171,2418
14527,1672,2374,46039,19165,120,196,2769
13122,1726,3270,46361,19184,244,168,2458
12631,1678,3558,46051,19875,237,171,1202
12522,902,3181,47629,18429,116,195,3231
3467,322,800,23386,18797,221,61,5533
3882,485,863,24505,18544,221,74,3121
4846,545,149,25766,17410,166,63,2302
5004,666,151,22289,17609,157,96,5513
4920,696,366,22352,17808,137,98,2713
4901,967,298,22073,18030,120,106,2609
5272,874,249,20840,18030,101,141,3570
5599,767,266,21004,17890,108,146,2976
5624,763,216,20407,17880,102,163,2524
5102,816,1045,19943,17767,98,187,2606
4799,815,1063,20219,18033,82,223,2582
4197,816,753,21165,17123,88,233,3409
4783,770,855,20984,16824,165,263,2305
4680,511,789,18082,17455,160,269,5238
4790,221,789,18391,16771,91,331,5056
1909,112,199,46446,7019,97,35,3848
2024,405,283,48355,7009,97,45,1001
2035,445,102,48484,7720,58,39,773
2075,588,105,46390,7648,61,48,2385
2077,567,192,45826,6362,59,49,1602
2115,601,97,45911,5885,61,49,2331
2101,560,69,46016,5885,50,63,2204
2347,473,96,45537,5640,43,80,2448
2264,461,53,45594,5640,44,103,2190
2150,550,248,45146,5552,50,111,2023
1984,721,351,44905,5766,41,166,1958
2064,759,257,44873,5085,44,206,2571
1583,913,364,44323,5739,79,109,2697
1657,420,141,44653,7661,70,110,222
1523,256,207,46086,7002,47,128,597
6549,515,1493,33096,19533,222,106,3092
7479,970,2579,32073,19103,222,131,2537
10108,1008,141,33237,19523,188,151,516
9014,1235,1597,29436,20913,170,230,2282
8677,1120,1544,29017,21351,163,256,1817
8826,1389,890,29711,19387,166,336,3115
9159,1292,508,29274,19387,130,430,3552
9131,1078,609,28731,20009,130,546,2791
9377,1000,493,28198,19809,119,663,2118
8684,1170,2058,27898,18837,118,792,2067
8348,1177,2157,28087,18837,109,909,1914
8899,736,1780,27867,18781,135,1070,1554
8054,1835,2155,28158,18925,216,814,417
8110,1242,2076,28871,18236,214,831,682
8013,437,2218,31734,15138,129,1012,323
2127,135,240,50417,19968,255,117,1805
2167,446,226,51801,19291,255,187,1263
1870,464,170,50178,20369,151,155,2120
1275,429,946,48446,18934,139,198,3394
1292,385,877,51471,17341,65,212,1175
1371,513,467,51025,17256,92,225,1909
1553,542,207,50525,17256,59,279,2295
1605,481,252,51382,16805,58,339,1865
1690,450,229,51217,16805,50,384,1600
1217,557,665,51818,17127,53,471,2152
1303,530,649,52478,14164,52,541,2081
1313,639,474,52188,14084,55,636,1979
1209,837,625,51676,14978,111,484,1410
1174,648,545,52122,14977,125,493,1232
1183,231,534,54344,13278,75,539,741
673,230,56,43365,19466,299,44,1769
1027,184,55,46763,19206,299,76,1119
1226,201,188,44838,18412,52,82,2737
1258,204,95,42455,18278,40,312,3342
1238,142,289,41169,19798,47,380,2049
1251,146,268,41354,17420,48,411,4070
1310,117,218,40941,17420,47,530,3872
1309,144,206,41506,17475,45,799,1960
1174,129,230,41565,17846,42,977,1661
1056,140,351,41504,17257,41,1194,1294
961,111,231,40641,15968,35,1371,1128
951,116,187,40509,16306,55,1746,2825
875,214,146,40533,17608,73,1080,897
818,0,96,40648,16780,67,1099,150
908,84,142,43580,13000,87,1465,1602
1262,128,274,35433,8462,119,195,4256
1403,305,345,34850,8453,119,248,4186
1637,275,125,27577,15409,95,197,4327
1363,409,447,24665,15398,78,243,7538
1358,442,488,25775,14187,70,264,5688
1340,507,136,24893,14720,68,221,5947
1426,438,132,23711,14720,50,240,6929
1425,491,118,23503,14933,52,384,6910
1409,470,116,23238,15443,51,459,6491
1278,528,298,23080,14793,52,526,6573
1202,561,345,23760,14078,48,497,6596
1252,558,234,23737,13832,57,549,7367
1194,602,248,24339,14905,66,444,5882
1137,403,198,26120,16058,69,450,2348
1090,140,246,32774,9810,59,614,1870
490,36,20,53714,4708,62,27,4951
461,145,13,56218,4720,62,47,4369
373,253,52,46070,11509,18,41,6989
363,362,123,48510,11849,18,53,3392
527,191,118,48231,11509,21,78,4006
573,162,48,48638,7255,20,125,6419
564,153,36,46673,7255,15,184,8412
615,191,59,45976,7272,32,215,8515
614,190,58,45909,7272,100,262,8512
583,209,60,45735,7383,28,300,8545
478,264,89,46061,7224,21,631,7959
546,265,56,46278,8199,21,801,8404
534,314,36,46448,8636,42,350,7088
516,185,30,46850,10436,41,356,2380
478,57,42,52329,5417,27,520,141
15263,3201,4940,56824,96546,1005,1857,14135
17120,5214,4689,60550,97160,1005,2722,4770
20931,4446,866,59850,89905,807,2085,11871
20464,4699,971,53965,89863,701,3218,16699
19925,3764,1762,54307,89819,714,3681,12216
19049,3755,1498,52594,89952,630,4117,13747
20988,2907,891,53761,89747,470,4621,11655
21068,3057,1253,52595,85882,540,5215,14057
21462,2815,1126,52296,85077,548,5815,13675
19059,2775,3402,51981,80576,524,6755,14634
18237,2596,3095,54480,79278,482,7377,15530
19384,2693,2290,52144,76661,503,7903,11573
18471,2847,2630,52338,78296,681,7124,9791
17377,1858,2875,57040,74021,717,7239,6610
17396,914,3470,57843,59188,521,7571,20633
4316,439,2377,9093,23268,225,248,903
4580,715,2426,8666,23044,225,359,884
6887,621,202,7628,21576,193,330,2708
6914,724,415,8127,21151,178,489,1976
6839,784,562,8318,20725,161,508,441
6989,834,455,6982,20739,141,603,1172
7470,688,209,6679,20534,111,689,1688
7394,614,402,6586,20349,132,776,1234
7559,612,309,7705,18557,128,896,1573
6675,579,1111,7235,17857,119,1012,1461
6500,551,1184,7590,17985,105,1240,1264
6854,528,1018,7406,17418,103,1371,1378
6254,499,1230,7369,17347,160,1367,1682
5733,372,1521,6789,19225,181,1397,410
5558,125,1856,7314,18081,127,1553,444
3303,566,1040,25176,29387,217,146,835
3596,969,972,24340,29306,217,197,862
4252,807,223,25561,28931,183,184,288
4184,942,348,23217,29310,150,273,1897
4103,927,395,22709,29688,161,291,1218
3818,1077,250,22756,29387,130,323,1788
4242,815,219,23172,29387,104,382,1067
4217,815,215,23119,28498,120,432,1602
4324,858,175,22011,29477,121,471,1535
3695,858,831,22913,26278,114,519,2896
3720,818,743,22456,26614,106,565,2913
3853,919,566,22395,26664,126,610,2840
3626,1003,681,23239,27169,177,662,1112
3560,677,696,22726,27813,175,675,987
3522,308,834,23863,24116,119,719,3919
7644,2196,1523,22555,43891,563,1463,12397
8944,3530,1291,27544,44810,563,2166,3024
9792,3018,441,26661,39398,431,1571,8875
9366,3033,208,22621,39402,373,2456,12826
8983,2053,805,23280,39406,392,2882,10557
8242,1844,793,22856,39826,359,3191,10787
9276,1404,463,23910,39826,255,3550,8900
9457,1628,636,22890,37035,288,4007,11221
9579,1345,642,22580,37043,299,4448,10567
8689,1338,1460,21833,36441,291,5224,10277
8017,1227,1168,24434,34679,271,5572,11353
8676,1246,706,22343,32579,274,5922,7355
8591,1345,719,21729,33780,344,5095,6997
8084,809,657,27524,26983,362,5166,5213
8316,481,780,26667,16991,275,5299,16269
363163,47448,40081,659498,601717,15071,15012,93423
382892,69332,25614,631078,605570,15071,18283,84006
380542,66070,18715,632417,615384,12244,18561,80499
358449,65441,33586,630131,610863,11346,27121,78876
334823,57363,51615,636464,611823,10457,29162,63013
332778,88181,50748,601004,602768,10287,30840,78371
361172,82697,20833,595190,598475,8046,34556,90627
368394,76128,25958,584302,583085,8394,44218,91869
382573,64993,21322,594252,567168,8012,49649,88466
330684,64934,67962,588792,557828,7105,55908,93946
337389,66762,55503,589044,558545,6183,57960,92507
348566,67462,38663,577977,552066,6539,64292,102971
339829,61788,39657,584224,559135,10758,59193,97201
334893,35959,37057,612257,576037,12234,60167,68133
339708,12743,39072,654020,538566,8301,69441,68870
0,0,0,0,0,1,0,0
6,2,4,0,153008,0,0,212462
8,2,2,0,0,0,0,0
16,4,4,2350,132314,1,21,213703
17,4,3,2772,118156,3,23,213335
14,3,1,1624,118276,18,47,212081
17,2,6,1625,118076,1,83,209888
21,4,4,1276,117932,1,254,208666
26,6,21,1281,87045,2,353,135067
31,6,40,1209,88643,2,535,132349
28,7,61,1156,87936,2,433,131802
34,8,26,1226,87936,2,567,132230
32,9,49,1295,90475,2,167,130760
31,7,48,738,93801,2,167,127898
31,4,45,696,91817,2,166,126248
0,0,0,0,0,20,0,0
297,154,14,1361,1211,0,0,1063
307,0,0,1384,0,0,0,0
320,167,13,646,2000,25,75,584
305,52,14,1203,1796,52,83,358
176,36,160,987,1626,33,126,525
151,37,169,1018,1626,20,178,269
159,27,147,1143,1610,20,174,317
156,34,155,1131,1067,21,180,463
162,41,141,1082,1318,21,199,363
136,38,120,976,1435,21,517,130
101,42,150,961,1189,19,678,220
88,37,62,1002,1552,10,227,374
72,23,49,738,1552,13,227,625
161,22,189,770,1299,20,256,423
363163,47448,40081,659498,601717,15092,15012,93423
383195,69488,25632,632439,759789,15071,18283,297531
380857,66072,18717,633801,615384,12244,18561,80499
358785,65612,33603,633127,745177,11372,27217,293163
335145,57419,51632,640439,731775,10512,29268,276706
332968,88220,50909,603615,722670,10338,31013,290977
361340,82736,21008,597833,718177,8067,34817,300784
368574,76159,26109,586721,702627,8415,44646,300852
382755,65033,21498,596664,655280,8035,50182,223996
330877,64981,68143,591083,647789,7128,56642,226658
337553,66807,55684,591176,647916,6206,58910,224439
348701,67512,38839,580165,641191,6560,65537,235420
339949,61834,39768,586521,651163,10770,59587,228334
334996,35989,37154,613733,671390,12250,60562,196657
339900,12769,39306,655486,631682,8323,69864,195542
